Country,Overall Sales Rate (%),Top Brand by Rate,Top Brand by Volume,Top Product by Rate,Top Product by Volume
Italy,1.52,Saint Laurent,Gucci,T-shirt,T-shirt
France,2.07,Balenciaga,Gucci,T-shirt,T-shirt
United States,0.78,Christian Louboutin,Gucci,Leather heels,Leather heels
United Kingdom,1.94,Valentino Garavani,Gucci,Leather sandal,Leather heels
Spain,1.46,Saint Laurent,Burberry,T-shirt,T-shirt
Germany,2.24,Burberry,Gucci,Shirt,Leather heels
Poland,1.18,Chanel,Burberry,Polo shirt,Jacket
Japan,0.1,Chanel,Chanel,Wool jacket,Watch
Romania,1.42,Polo Ralph Lauren,Gucci,Sweatshirt,T-shirt
Hong Kong,0.99,Celine,Chanel,T-shirt,T-shirt
